K000694	-2.475	4792	1.341	-0.19	10.332	243.64999	-11.615
K003358	-2.186	4982	1.457	-0.232	9.764	223.161	-3.904
K003366	-1.926	5336	2.714	0.078	10.32	225.304	-6.138
K003945	-2.475	4708	1.152	-0.379	11.356	191.39	-15.901
K004151	-2.774	5050	1.817	0.535	10.047	245.213	-9.2159996
K004680	-2.384	5333	2.919	0.365	11.317	206.51401	-5.4039998
K017705	-2.672	4515	0.352	-0.696	9.095	227.14101	-14.988
K019741	-2.571	4516	0.861	-0.396	9.487	238.60001	-15.809
K027331	-2.027	5216	1.85	-0.094	8.214	247.23399	-10.249
K027890	-2.01	5059	1.529	-0.25	9.413	178.535	-12.915
K028901	-2.483	4700	1.056	-0.304	9.867	214.57001	-12.135
K030808	-2.244	4746	1.319	-0.039	9.192	230.293	-6.1329999
K032942	-2.852	4878	1.349	-0.527	10.439	199.946	-4.3860002
K033159	-1.684	4983	2.019	0.065	10.376	197.45399	-9.427
K033501	-2.157	5083	1.856	0.465	10.355	322.927	-14.986
K034712	-1.942	5195	2.719	0.224	10.614	246.651	-3.5580001
K035766	-2.044	4931	1.423	-0.248	9.724	307.439	-12.823
K037301	-2.934	4621	0.862	-0.427	9.873	204.881	-12.956
K037387	-1.925	5365	3.154	0.337	10.408	210.118	-10.078
K037472	-2.228	5019	2.217	0.5	10.083	306.03101	-12.364
K039598	-2.259	5347	2.722	1.242	10.181	239.696	-3.664
K040795	-2.625	5006	1.287	-0.398	10.61	226.127	-11.145
K041221	-2.476	4993	1.675	0.086	8.928	317.32599	-13.168
K041686	-2.444	4587	0.715	-0.408	9.523	344.10599	-7.3319998
K041854	-1.875	4776	1.271	-0.266	9.654	332.23499	-6.638
K042155	-2.508	4951	1.685	0.255	11.184	13.582	-6.1989999
K044440	-2.627	5010	1.945	0.488	9.703	314.70499	-3.9089999
K045002	-1.859	5423	2.977	0.244	10.082	351.242	-10.268
K077236	-2.607	4420	0.322	-0.862	7.798	319.091	-2.2279999
K086681	-2.682	4575	0.319	-0.794	10.03	205.11301	0.268
K087876	-2.327	4722	0.959	-0.384	9.874	312.65399	-2.6719999
K088515	-2.084	4829	1.55	0.004	9.898	196.868	-9.5209999
K091596	-2.185	5016	2.065	0.29	8.48	314.03799	-13.522
K091707	-2.274	5019	1.432	-0.327	9.077	315.159	-5.6550002
K091737	-2.632	4656	0.844	-0.843	7.923	327.89999	-5.7280002
K093396	-1.688	4953	1.753	0.001	8.756	356.668	-8.6309996
K124206	-2.382	5278	2.526	1.223	8.106	178.40601	-2.01
K129514	-2.156	4648	0.799	-0.321	8.254	13.366	-2.888
K130233	-2.685	4835	1.57	-0.099	8.899	311.39401	-14.521
K144703	-0.735	6295	4.092	0.17	10.472	35.228001	0.128
K156415	-2.176	5393	2.941	0.447	8.433	176.186	-11.471
K156640	-2.735	4845	1.324	-0.622	7.994	242.463	-9.6879997
K157339	-2.564	5169	1.856	-0.526	10.275	239.62399	-12.409
K157667	-2.462	4779	1.108	-0.148	9.706	216.44501	-15.135
K160774	-2.51	4832	1.376	-0.107	11.044	233.09	-12.582
K161325	-2.165	5034	1.803	0.18	10.992	315.733	-8.4610004
K162657	-2.563	5129	1.809	-0.356	9.854	222.71899	-11.623
K166628	-1.529	5241	2.606	0.042	11.234	316.76401	-11.876
K166641	-2.286	4669	0.836	-0.368	10.996	319.116	-13.536
K167140	-2.409	4823	1.369	-0.126	10.222	0.101	-11.129
K182102	-1.443	6177	4.106	0.216	10.3	55.648998	-8.7419996
K190792	-2.643	4679	0.641	1.701	10.47	240.89301	-6.3940001
K193062	-2.447	4632	0.76	-0.501	10.84	236.981	-15.729
K199685	-2.76	4636	0.777	-0.333	9.217	176.17	-4.164
K207466	-1.966	5912	1.89	0.321	11.036	236.903	-15.413
K208544	-2.208	5348	2.862	0.341	9.373	309.90601	-10.572
K209216	-2.154	5391	2.139	-0.242	10.263	249.364	-6.8109999
K213182	-2.408	5068	2.136	0.33	11.099	7.7199998	-10.118
K214425	-2.134	5103	2.702	0.359	11.226	0.963	-12.532
K214694	-2.515	4943	2.042	0.118	10.938	306.99799	-14.102
K237092	-1.766	5325	3.175	0.185	9.455	310.04599	-10.924
K238545	-1.752	5266	1.626	0.127	10.386	320.02802	-12.471
R026115	-0.77	5971	3.085	0.161	11.664	159.30099	-11.2
R026226	-2.376	5001	1.678	1.461	9.529	147.341	-16.289
R026431	-1.875	5338	2.194	0.443	11.486	146.924	-3.0220001
R026509	-2.707	5080	2.794	0.375	10.911	148.19501	-8.9320002
R026553	-2.242	4776	1.107	0.703	8.863	152.00301	-10.148
R026608	-2.062	4799	1.762	-0.484	10.604	149.588	-3.3989999
R026845	-1.713	4956	1.718	-0.136	11.256	199.91	-27.104
R026978	-2.053	4723	1.581	-0.097	8.97	228.989	-10.906
R027245	-1.26	6654	3.726	0.292	9.493	151.216	-13.688
R027588	-2.508	5140	1.586	-0.194	12.062	221.728	-13.526
R027926	-2.2	5172	2.417	0.833	11.049	215.862	-28.572001
R028247	-2.378	5080	1.722	0.401	11.234	158.21201	-24.813999
R028273	-1.928	5326	2.999	0.448	10.987	179.79401	-16.07
R028611	-2.474	4523	1.445	0.09	11.052	304.42499	-34.724998
R028649	-1.593	5503	2.867	-0.197	11.455	308.76099	-33.775002
R028748	-2.303	4537	0.874	-0.341	10.401	158.183	-16.246
R028770	-2.081	6037	3.46	0.386	11.84	160.49899	-18.209999
R028790	-2.465	4563	1.224	-0.555	10.933	199.731	-29.834999
R028844	-2.183	5513	2.816	0.017	11.301	199.55901	-26.371
R029067	-1.651	5657	2.927	-0.245	11.326	156.87199	-7.402
R029245	-2.552	5094	1.764	0.467	10.494	219.48801	-28.032
R029301	-2.341	4793	1.67	-0.057	10.721	222.81799	-29.108999
R029573	-2.231	4697	1.008	-0.367	9.226	193.54601	-28.83
R029846	-1.944	5107	2.271	0.372	11.045	192.931	-30.767
R030139	-2.343	4470	0.971	-0.481	10.717	220.11	-4.4089999
R030563	-1.862	5555	2.804	0.538	10.694	167.201	-14.96
R030601	-2.642	4522	0.908	-0.807	10.55	211.052	-25.874001
R030632	-2.714	4582	1.926	-0.266	11.016	209.92999	-24.283001
R030669	-3.446	4734	0.173	-0.246	8.754	214.17	-24.367001
R030704	-2.035	4536	1.669	-0.364	10.626	212.744	-27.761
R031108	-2.731	4412	0.259	-0.614	11.017	302.77301	-24.103001
R031226	-2.249	4550	0.536	0.222	10.828	318.85599	-15.059
R031484	-2.699	5153	2.273	1.148	8.978	188.959	-31.52
R031999	-3.295	4318	0.572	-0.224	9.87	212.85899	-11.629
R032088	-2.325	4437	0.58	-0.551	10.095	307.29901	-14.441
R032139	-2.155	5329	2.893	0.198	9.424	309.90601	-10.572
R032143	-1.891	4754	1.294	-0.137	10.894	310.37701	-11.532
R032581	-1.776	5491	3.026	-0.189	11.874	215.571	-13.015
R032852	-1.736	5776	4.138	0.281	11.571	323.12399	-64.614998
R033050	-2.159	4810	1.317	0.132	9.358	314.103	-0.37
R033088	-2.361	4903	1.889	0.062	10.868	315.263	-3.5409999
R033093	-2.516	5007	2.246	0.383	9.768	314.70499	-3.9089999
R033373	-1.883	5012	1.633	0.318	9.776	175.541	-31.43
R033557	-2.325	5306	3.128	0.742	11.016	209.39799	-30.547001
R033567	-2.656	4808	1.6	0.03	8.826	210.786	-32.234001
R033583	-3.438	5195	1.252	1.085	9.947	210.89799	-33.59
R033673	-2.04	5111	2.272	0.344	9.17	312.82599	-6.434
R033771	-2.096	4793	1.618	-0.075	10.57	314.61801	-17.965
R034286	-2.003	5284	2.588	0.091	11.246	191.05701	-34.113998
R034537	-2.347	4428	0.788	-0.691	10.002	305.646	-17.445
R034624	-3.098	4474	0.362	-0.823	9.861	320.94101	-8.6630001
R034688	-2.787	4533	0.519	-0.755	10.993	324.284	-9.46
R034747	-1.371	5715	4.309	0.274	11.066	332.26801	-12.238
R034986	-1.699	5487	2.753	0.433	9.9	179.32899	-1.034
R034991	-0.228	4079	4.212	0.383	10.544	177.981	-1.526
R035066	-2.24	5350	2.866	0.136	11.503	192.666	-3.1300001
R035090	-0.804	5072	4.645	-0.213	11.593	195.17799	-5.901
R036085	-2.582	5108	2.082	-0.085	10.895	301.90399	-63.613998
R036119	-2.084	5046	1.565	-0.431	11.294	312.233	-65.272003
R036435	-1.552	4798	1.881	-0.096	11.458	187.377	-12.236
R036571	-2.559	5131	2.416	0.384	11.189	210.843	-20.723
R036601	-3.151	4643	0.442	-0.492	11.062	211.98801	-17.285999
R036703	-2.597	5254	2.467	0.413	11.472	185.687	-14.895
R036735	-0.208	4079	3.153	-0.487	10.894	186.336	-17.83
R036793	-2.142	4927	1.321	0.033	9.281	195.575	-34.359001
R037017	-2.239	4750	1.616	-0.129	10.179	309.66101	-36.236
R037538	-2.275	5274	2.852	0.705	11.937	307.897	-31.459
R037646	-1.635	4612	1.328	-0.447	9.739	338.23999	-49.712002
R037692	-2.212	4973	1.937	0.128	10.831	341.60101	-45.555
R038993	-0.504	5566	4.514	0.088	11.257	36.417	-10.615
R039034	-1.886	5372	2.006	0.472	11.363	40.196999	-13.651
R039041	-2.01	5964	2.579	2.03	11.976	40.044998	-14.275
R039091	-3.14	6991	2.392	0.378	9.858	274.98599	-17.142
R039181	-2.354	4820	1.828	0.033	10.59	314.14001	-68.945
R040332	-3.364	5903	1.368	-0.75	7.35	275.25101	-17.152
R040340	-3.73	6775	3.772	-9.999	9.22	274.185	-17.818001
R040358	-3.078	5956	2.45	-9.999	8.208	272.92999	-15.583
R040364	-3.022	6078	2.186	-0.84	7.818	273.23401	-15.192
R040367	-2.864	6847	1.783	-0.335	8.722	274.914	-16.021999
R040380	-2.831	5529	2.158	-0.844	8.479	274.86801	-15.313
R040424	-9.999	-9999	-9.999	-9.999	8.759	275.85699	-17.124001
R040427	-3.24	6773	2.154	0.005	9.148	275.76001	-17.231001
R040507	-2.52	4633	1.157	-0.284	10.92	333.67999	-48.051998
R040732	-2.142	5092	2.133	0.483	10.969	58.827999	-35.681999
R040769	-1.784	5110	2.242	0.299	11.31	311.08499	-57.056
R041042	-2.042	4820	1.287	-0.036	9.333	25.302	-23.48
R041085	-2.538	5573	2.201	0.086	9.693	55.742001	-30.789
R041746	-2.372	5372	2.966	0.018	11.079	344.09601	-43.662998
R041769	-2.598	4510	0.854	-0.609	11.249	345.884	-42.005001
R041857	-0.85	4198	2.309	-0.824	9.058	22.165001	-14.968
R043231	-2.365	5029	1.642	-0.166	8.335	353.26401	-44.619999
R045493	-2.242	5413	3.453	0.395	10.985	82.823997	-58.167999
R045655	-1.934	5284	1.98	-0.147	11.061	15.912	-10.407
R045808	-1.791	4172	2.425	-0.814	10.651	57.298	-14.465
R045822	-1.112	5877	4.128	0.243	11.21	56.493	-13.711
R045956	-1.638	4122	0.464	-0.463	11.151	74.632004	-6.171
R046895	-1.867	4792	1.561	-0.136	8.638	35.693001	-51.842999
R047391	-1.395	5304	2.18	-0.009	11.735	165.33501	-26.67
R047882	-1.943	5541	3.633	0.469	8.796	90.447998	-59.863998
R048004	-1.918	4192	0.381	-0.825	10.938	157.463	-4.5359998
R048045	-1.872	6353	3.863	1.499	11.96	161.04601	-3.9820001
R049598	-1.978	6244	3.409	1.455	11.96	161.04601	-3.9820001
R049972	-2.184	5267	2.76	0.38	11.703	162.341	-11.905
R050084	-0.18	5831	3.862	-0.088	12.145	172.842	-15.081
R050128	-0.519	5014	3.243	-0.234	9.821	175.455	-10.99
R050153	-2.621	5315	2.56	-0.001	11.666	176.142	-13.526
R050161	-0.78	5993	4.18	0.054	11.445	176.849	-15.082
R050238	-2.11	5169	2.535	0.583	11.584	202.576	-21.937
R050629	-2.388	5138	1.716	0.016	9.549	188.49899	-29.735001
R050691	-1.771	4852	1.573	-0.252	9	94.214996	-78.439003
R050780	-2.634	5180	1.829	1.388	10.804	169.80099	-16.163
R050988	-2.143	5156	2.392	0.496	11.559	188.17599	-21.599001
R051178	-1.742	5254	2.166	-0.221	11.526	181.70399	-25.691999
R052110	-2.051	4820	1.522	0.051	9.976	189.45599	-9.8249998
R052118	-1.663	5446	3.056	0.648	11.275	191.407	-9.4510002
R052124	-0.076	5260	4.181	-0.283	11.17	192.078	-10.226
R052170	-1.735	4768	1.463	-0.088	9.707	192.395	-14.16
R052189	-2.872	4831	1.402	0.195	11.538	196.339	-11.623
R052288	-2.327	4026	2.598	-0.852	3.811	238.784	-3.984
R052708	-2.276	4809	1.317	0.161	8.97	228.989	-10.906
R052750	-2.085	5035	1.956	0.252	12.137	168.034	-4.8109999
R052808	-0.827	4124	2.466	-0.857	10.994	170.571	-5.2779999
R052860	-1.778	6246	3.83	0.706	11.614	173.784	-11.224
R052876	-2.22	5144	1.87	0.601	11.361	174.054	-12.804
R053062	-2.359	4379	0.561	-0.701	7.937	205.55299	-14.293
R053082	-2.17	4610	1.27	-0.158	11.144	205.888	-17.285999
R053486	-1.434	5912	3.896	0.141	11.174	173.702	-7.6820002
R053611	-2.018	5078	1.944	0.214	10.525	183.909	-19.785999
R053766	-1.183	4941	1.778	-0.039	9.039	234.50301	-17.294001
R053867	-2.166	4699	1.078	-0.112	11.447	250.01801	-0.911
R054227	-2.277	4881	1.757	-0.084	11.403	191.39101	-15.901
